Placement,Origin,Destination,Advertiser Origin,Advertiser Destination,Average CPC (USD),Average Rank,First Rank Bid (USD),Third Rank Bid (USD),6th Rank Bid (USD),9th Rank Bid (USD),Est. Clicks,Est. Impressions,Est. Spend (USD)
FlyDealFarePanelD_US_FPCMP2,IAD,BLR,IAD,BLR,0.95,5,1.48,1.02,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,ORD,HYD,ORD,HYD,0.95,4.74,1.49,1.02,0.96,0.96,0,7,0
FlyDealFarePanelM_US_FPCMP2,HYD,CLE,HYD,CLE,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,BFM,DEL,BFM,DEL,1,1,1,1.01,1.01,1.01,1,2,1
FlyDealFarePanelM_US_FPCMP2,CCJ,ORD,CCJ,ORD,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,SFO,BOM,SFO,BOM,1,2.83,1.51,1.22,1.01,1.01,1,19,1
FlyDealFarePanelDOW_US_FPCMP2,AMD,ORD,AMD,ORD,0.3,4,1.19,0.65,0.31,0.31,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,CLT,DEL,CLT,DEL,0.92,2,1.22,0.93,0.93,0.93,0,2,0
FlyDealFarePanelD_US_FPCMP2,CLE,BOM,CLE,BOM,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,HYD,MCI,HYD,MCI,0.25,3.5,1.22,0.52,0.26,0.26,0,2,0
FlyDealFarePanelD_US_FPCMP2,MIA,DEL,MIA,DEL,0.95,4,1.63,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,NAG,ORL,NAG,ORL,0.25,1,0.25,0.26,0.26,0.26,1,3,0.25
FlyDealFarePanelDOW_US_FPCMP2,JFK,HYD,JFK,HYD,1.26,2,2.02,1.27,1.27,1.27,0,1,0
FlyDealFarePanelD_US_FPCMP2,DEN,SLV,DEN,SLV,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,HOU,TRV,HOU,TRV,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,IAD,HYD,IAD,HYD,0.92,3,1.22,0.93,0.93,0.93,0,5,0
FlyDealFarePanelM_US_FPCMP2,BLR,NYC,BLR,NYC,0.45,1.5,0.54,0.46,0.46,0.46,1,2,0.45
FlyDealFarePanelD_US_FPCMP2,SFO,HYD,SFO,HYD,0.95,4.6,2.73,1.02,0.96,0.96,0,3,0
FlyDealFarePanelD_US_FPCMP2,IND,BOM,IND,BOM,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,COK,ORD,COK,ORD,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,SFO,DEL,SFO,DEL,1,2.78,1.51,1.22,1.01,1.01,2,68,2
FlyDealFarePanelMOW_US_FPCMP2,PHX,BOM,PHX,BOM,0.75,2,1.22,0.76,0.76,0.76,1,2,0.75
FlyDealFarePanelMOW_US_FPCMP2,BLR,DEN,BLR,DEN,0.25,4,1.22,0.52,0.26,0.26,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,BLR,SFO,BLR,SFO,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,IDR,ONT,IDR,ONT,0.45,3,1.22,0.46,0.46,0.46,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,BNA,BOM,BNA,BOM,0.75,2,1.22,0.76,0.76,0.76,0,3,0
FlyDealFarePanelD_US_FPCMP2,ALB,BOM,ALB,BOM,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,DTT,DEL,DTT,0.25,2.65,0.52,0.26,0.26,0.26,0,5,0
FlyDealFarePanelD_US_FPCMP2,PHX,DEL,PHX,DEL,0.95,5,1.56,1.02,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,ATW,ATQ,ATW,ATQ,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,VTZ,IAD,VTZ,IAD,0.25,3,1.22,0.26,0.26,0.26,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,BNA,HYD,BNA,HYD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,RDU,DEL,RDU,DEL,0.95,5,2.97,1.02,0.96,0.96,0,3,0
FlyDealFarePanelMOW_US_FPCMP2,STL,AMD,STL,AMD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,ORF,AMD,ORF,AMD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,CLT,DEL,CLT,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,ATQ,LAX,ATQ,LAX,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelD_US_FPCMP2,WAS,BLR,WAS,BLR,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,AUS,DEL,AUS,DEL,0.75,5,1.22,0.82,0.76,0.76,0,2,0
FlyDealFarePanelD_US_FPCMP2,SEA,HYD,SEA,HYD,0.95,5,1.56,1.02,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,MCO,AMD,MCO,AMD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,IND,BLR,IND,BLR,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,SJC,HYD,SJC,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,LAX,BLR,LAX,BLR,1,3.96,1.51,1.01,1.01,1.01,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,ONT,DEL,ONT,DEL,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,BOM,LAS,BOM,LAS,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,DEL,NYC,DEL,1,1.05,1.22,1.01,1.01,1.01,5,38,5
FlyDealFarePanelD_US_FPCMP2,MCO,BOM,MCO,BOM,0.95,4,1.25,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,SFO,HYD,SFO,HYD,0.9,2,1.22,0.91,0.91,0.91,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,RIC,AMD,RIC,AMD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,HOU,DEL,HOU,DEL,1.17,2,1.56,1.18,1.18,1.18,0,2,0
FlyDealFarePanelD_US_FPCMP2,NYC,AMD,NYC,AMD,0.95,7.13,3.69,1.77,1.01,0.99,0,3,0
FlyDealFarePanelM_US_FPCMP2,MFE,DEL,MFE,DEL,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelDOW_US_FPCMP2,BLR,ORD,BLR,ORD,0.3,4,1.06,0.65,0.31,0.31,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,CHI,AMD,CHI,AMD,0.75,2,0.82,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,IAD,MAA,IAD,MAA,1,2,1.22,1.01,1.01,1.01,0,4,0
FlyDealFarePanelM_US_FPCMP2,DFW,PAT,DFW,PAT,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,LAX,IXE,LAX,IXE,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,TPA,MAA,TPA,MAA,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,AUS,AMD,AUS,AMD,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,NYC,DEL,NYC,DEL,1.17,2.17,2.52,1.18,1.18,1.18,1,14,0.58
FlyDealFarePanelD_US_FPCMP2,BOM,LAX,BOM,LAX,1.17,1,1.17,1.18,1.18,1.18,1,1,1.17
FlyDealFarePanelM_US_FPCMP2,HYD,SFO,HYD,SFO,0.45,4,1.22,0.47,0.46,0.46,0,1,0
FlyDealFarePanelD_US_FPCMP2,PIE,BOM,PIE,BOM,0.95,9,2.57,1.09,1.01,0.96,0,2,0
FlyDealFarePanelM_US_FPCMP2,PHX,GAU,PHX,GAU,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,IXC,SYR,IXC,SYR,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,FLL,AMD,FLL,AMD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,HYD,IAH,HYD,IAH,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,AMD,NYC,AMD,1,1.71,1.51,1.01,1.01,1.01,4,8,4
FlyDealFarePanelMOW_US_FPCMP2,BOM,ATL,BOM,ATL,0.92,2,1.22,0.93,0.93,0.93,0,4,0
FlyDealFarePanelD_US_FPCMP2,ORD,BOM,ORD,BOM,1.17,2,1.27,1.18,1.18,1.18,0,4,0
FlyDealFarePanelM_US_FPCMP2,AUS,HYD,AUS,HYD,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelMOW_US_FPCMP2,AMD,JFK,AMD,JFK,0.92,2,1.22,0.93,0.93,0.93,1,8,0.92
FlyDealFarePanelD_US_FPCMP2,DAL,HYD,DAL,HYD,0.95,4,1.25,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,JAN,DEL,JAN,DEL,0.75,1,0.75,0.76,0.76,0.76,2,2,1.5
FlyDealFarePanelM_US_FPCMP2,ATL,COK,ATL,COK,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelM_US_FPCMP2,DEL,LGA,DEL,LGA,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,LAX,AMD,LAX,AMD,0.75,4,1.51,1.01,0.76,0.76,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,IND,HYD,IND,HYD,0.75,2,1.22,0.76,0.76,0.76,0,5,0
FlyDealFarePanelD_US_FPCMP2,RIC,DEL,RIC,DEL,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,IAH,HYD,IAH,HYD,1.2,2,1.49,1.21,1.21,1.21,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,LGB,MAA,LGB,MAA,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelM_US_FPCMP2,NYC,CJB,NYC,CJB,1,1,1,1.01,1.01,1.01,1,2,1
FlyDealFarePanelM_US_FPCMP2,DEL,CGX,DEL,CGX,0.45,1,0.45,0.46,0.46,0.46,1,1,0.45
FlyDealFarePanelM_US_FPCMP2,TYS,DEL,TYS,DEL,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,SEA,BOM,SEA,BOM,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,HYD,NYC,HYD,NYC,0.25,2.5,0.52,0.26,0.26,0.26,0,2,0
FlyDealFarePanelM_US_FPCMP2,OAK,DEL,OAK,DEL,1,2,1.22,1.01,1.01,1.01,0,4,0
FlyDealFarePanelMOW_US_FPCMP2,AMD,BNA,AMD,BNA,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelD_US_FPCMP2,PHL,BLR,PHL,BLR,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,HOU,DEL,HOU,DEL,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,SJC,BLR,SJC,BLR,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,HYD,SEA,HYD,SEA,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,EWR,NAG,EWR,NAG,1,2,1.22,1.01,1.01,1.01,0,4,0
FlyDealFarePanelD_US_FPCMP2,CVG,AMD,CVG,AMD,0.95,4,1.25,1.01,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,LFT,BLR,LFT,BLR,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,STL,HYD,STL,HYD,0.95,4,1.56,1.01,0.96,0.96,1,6,0.95
FlyDealFarePanelMOW_US_FPCMP2,AMD,IAH,AMD,IAH,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,MOB,ATQ,MOB,ATQ,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelD_US_FPCMP2,SFO,BLR,SFO,BLR,0.95,6.58,3.07,1.27,1.01,0.96,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,ATL,DEL,ATL,0.25,3.35,1.22,0.52,0.26,0.26,0,3,0
FlyDealFarePanelD_US_FPCMP2,PHL,DEL,PHL,DEL,0.95,8.13,3.05,2.31,1.01,0.99,0,2,0
FlyDealFarePanelD_US_FPCMP2,AUS,HYD,AUS,HYD,0.95,5,1.56,1.02,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,CCU,DEN,CCU,DEN,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,BLR,CMH,BLR,CMH,0.3,3,1.02,0.31,0.31,0.31,0,1,0
FlyDealFarePanelM_US_FPCMP2,CHS,AMD,CHS,AMD,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelM_US_FPCMP2,DEL,WAS,DEL,WAS,0.45,2.4,0.67,0.47,0.46,0.46,1,5,0.45
FlyDealFarePanelMOW_US_FPCMP2,HYD,SAT,HYD,SAT,0.25,4,1.22,0.52,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,PVD,BDQ,PVD,BDQ,1,2,1.22,1.01,1.01,1.01,1,3,1
FlyDealFarePanelDOW_US_FPCMP2,BOM,EWR,BOM,EWR,0.3,4,1.02,0.51,0.31,0.31,0,1,0
FlyDealFarePanelM_US_FPCMP2,PBI,HYD,PBI,HYD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,NYC,COK,NYC,COK,0.95,5,1.86,1.02,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,PHX,HYD,PHX,HYD,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,JFK,BOM,JFK,BOM,1,2.34,1.22,1.01,1.01,1.01,0,6,0
FlyDealFarePanelD_US_FPCMP2,SFO,SXR,SFO,SXR,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,SAT,HYD,SAT,0.45,2,1.22,0.46,0.46,0.46,0,3,0
FlyDealFarePanelDOW_US_FPCMP2,AMD,ATL,AMD,ATL,0.3,3,1.17,0.31,0.31,0.31,1,1,0.3
FlyDealFarePanelD_US_FPCMP2,SFO,GOI,SFO,GOI,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,DSM,UDR,DSM,UDR,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,BOM,VPS,BOM,VPS,0.25,3,1.22,0.26,0.26,0.26,1,2,0.25
FlyDealFarePanelD_US_FPCMP2,MAA,RDU,MAA,RDU,0.55,3,1.02,0.56,0.56,0.56,0,1,0
FlyDealFarePanelM_US_FPCMP2,HFD,DEL,HFD,DEL,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelM_US_FPCMP2,DFW,TRV,DFW,TRV,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,MLU,DEL,MLU,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,CVG,DEL,CVG,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,MSP,DEL,MSP,DEL,1.2,2,1.56,1.21,1.21,1.21,0,2,0
FlyDealFarePanelM_US_FPCMP2,AUS,CCU,AUS,CCU,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,SAN,HSR,SAN,HSR,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,SFO,CCJ,SFO,CCJ,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,ALB,HYD,ALB,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,CLE,DEL,CLE,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,EWR,HYD,EWR,0.45,4,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,HYD,ORD,HYD,ORD,0.45,4,1.22,0.71,0.46,0.46,1,1,0.45
FlyDealFarePanelMOW_US_FPCMP2,ATL,MAA,ATL,MAA,0.92,3,1.22,0.93,0.93,0.93,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,BDQ,NYC,BDQ,NYC,0.25,2,0.34,0.26,0.26,0.26,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,EWR,DEL,EWR,0.45,2.66,1.22,0.46,0.46,0.46,0,5,0
FlyDealFarePanelM_US_FPCMP2,HYD,RDU,HYD,RDU,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelD_US_FPCMP2,DFW,BLR,DFW,BLR,0.95,5.81,1.56,1.09,1.01,0.96,0,4,0
FlyDealFarePanelM_US_FPCMP2,CLE,BDQ,CLE,BDQ,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelMOW_US_FPCMP2,CJB,IAD,CJB,IAD,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelD_US_FPCMP2,HOU,BLR,HOU,BLR,0.95,5,1.56,1.02,0.96,0.96,0,2,0
FlyDealFarePanelM_US_FPCMP2,FKL,DEL,FKL,DEL,1,1,1,1.01,1.01,1.01,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,DCA,COK,DCA,COK,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelM_US_FPCMP2,HOU,AMD,HOU,AMD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,DEL,PHX,DEL,PHX,0.25,3,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelD_US_FPCMP2,ATL,IDR,ATL,IDR,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,EWR,CCU,EWR,CCU,0.95,4,1.56,1.01,0.96,0.96,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,CLT,COK,CLT,COK,1.2,1,1.2,1.21,1.21,1.21,0,1,0
FlyDealFarePanelD_US_FPCMP2,ATL,AMD,ATL,AMD,0.95,4.73,1.56,1.02,0.96,0.96,0,7,0
FlyDealFarePanelDOW_US_FPCMP2,BLR,ATL,BLR,ATL,0.3,3,1.17,0.31,0.31,0.31,0,1,0
FlyDealFarePanelD_US_FPCMP2,JFK,BLR,JFK,BLR,0.95,5,2.05,1.02,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,CLE,AMD,CLE,AMD,1,2,1.22,1.01,1.01,1.01,1,7,1
FlyDealFarePanelMOW_US_FPCMP2,MAA,RDU,MAA,RDU,0.25,2,1.22,0.26,0.26,0.26,1,2,0.25
FlyDealFarePanelMOW_US_FPCMP2,DEL,IND,DEL,IND,0.25,2.53,1.22,0.26,0.26,0.26,0,2,0
FlyDealFarePanelD_US_FPCMP2,OMA,BLR,OMA,BLR,0.95,4,1.48,1.01,0.96,0.96,0,1,0
FlyDealFarePanelD_US_FPCMP2,MCI,AMD,MCI,AMD,0.95,4,1.25,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,LAX,BOM,LAX,BOM,1,2.97,1.51,1.07,1.01,1.01,0,9,0
FlyDealFarePanelM_US_FPCMP2,SJC,DEL,SJC,DEL,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,JFK,COK,JFK,COK,1,2,1.22,1.01,1.01,1.01,0,12,0
FlyDealFarePanelM_US_FPCMP2,HOU,HYD,HOU,HYD,1,3,1.22,1.01,1.01,1.01,2,4,2
FlyDealFarePanelM_US_FPCMP2,BOM,ANC,BOM,ANC,0.45,3,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,SEA,HYD,SEA,HYD,0.75,3,1.22,0.76,0.76,0.76,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,TUS,CCJ,TUS,CCJ,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,TPA,DEL,TPA,DEL,0.75,3,1.22,0.76,0.76,0.76,0,3,0
FlyDealFarePanelMOW_US_FPCMP2,CVG,BLR,CVG,BLR,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelD_US_FPCMP2,HYD,DFW,HYD,DFW,0.55,4,1.02,0.65,0.56,0.56,0,1,0
FlyDealFarePanelM_US_FPCMP2,IAD,CJB,IAD,CJB,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,PDX,MAA,PDX,MAA,0.95,4,1.18,1.01,0.96,0.96,1,1,0.47
FlyDealFarePanelDOW_US_FPCMP2,DEL,SFO,DEL,SFO,0.3,7.88,1.02,0.84,0.48,0.34,0,3,0
FlyDealFarePanelD_US_FPCMP2,EWR,BOM,EWR,BOM,0.95,5.71,4.1,1.21,1.01,0.96,1,9,0.95
FlyDealFarePanelM_US_FPCMP2,MSP,AMD,MSP,AMD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,MCI,HYD,MCI,HYD,1,2,1.22,1.01,1.01,1.01,1,5,1
FlyDealFarePanelM_US_FPCMP2,CLE,HYD,CLE,HYD,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelMOW_US_FPCMP2,ATL,BDQ,ATL,BDQ,0.9,2,1.22,0.91,0.91,0.91,0,2,0
FlyDealFarePanelD_US_FPCMP2,IAD,HYD,IAD,HYD,0.95,5.75,3.62,1.85,1.01,0.99,2,7,0.94
FlyDealFarePanelMOW_US_FPCMP2,CLT,CCU,CLT,CCU,0.92,2,1.22,0.93,0.93,0.93,0,2,0
FlyDealFarePanelM_US_FPCMP2,BOM,MSP,BOM,MSP,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,DEL,PHX,DEL,PHX,0.45,2,1.22,0.46,0.46,0.46,1,1,0.45
FlyDealFarePanelMOW_US_FPCMP2,GAU,LAX,GAU,LAX,0.25,2,1.22,0.26,0.26,0.26,0,1,0
FlyDealFarePanelD_US_FPCMP2,CHI,HYD,CHI,HYD,0.95,5,1.56,1.02,0.96,0.96,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,HYD,SFO,HYD,SFO,0.3,3,1.02,0.31,0.31,0.31,0,1,0
FlyDealFarePanelD_US_FPCMP2,LAX,IXB,LAX,IXB,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,CLT,DEL,CLT,DEL,1,3,1.22,1.01,1.01,1.01,1,6,1
FlyDealFarePanelD_US_FPCMP2,BLR,JFK,BLR,JFK,0.55,4,1.02,0.65,0.56,0.56,0,1,0
FlyDealFarePanelD_US_FPCMP2,LAX,PNQ,LAX,PNQ,0.95,4,1.27,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,JFK,HYD,JFK,HYD,1,2,1.22,1.01,1.01,1.01,0,12,0
FlyDealFarePanelD_US_FPCMP2,LAX,MAA,LAX,MAA,0.95,5.86,2.75,1.21,1.01,0.96,0,3,0
FlyDealFarePanelM_US_FPCMP2,CLT,HYD,CLT,HYD,1,2,1.22,1.01,1.01,1.01,0,6,0
FlyDealFarePanelDOW_US_FPCMP2,DFW,DEL,DFW,DEL,1.2,4,3.33,1.77,1.21,1.21,1,1,1.2
FlyDealFarePanelM_US_FPCMP2,IXC,LVS,IXC,LVS,0.45,1,0.45,0.46,0.46,0.46,0,1,0
FlyDealFarePanelD_US_FPCMP2,ORD,AMD,ORD,AMD,0.95,4,1.25,1.01,0.96,0.96,1,4,0.47
FlyDealFarePanelDOW_US_FPCMP2,DEL,NYC,DEL,NYC,0.3,8.52,1.6,0.76,0.53,0.31,0,2,0
FlyDealFarePanelD_US_FPCMP2,BLR,SFO,BLR,SFO,0.55,4,1.02,0.65,0.56,0.56,0,1,0
FlyDealFarePanelM_US_FPCMP2,MAA,IAH,MAA,IAH,0.45,2,1.22,0.46,0.46,0.46,0,1,0
FlyDealFarePanelM_US_FPCMP2,DFW,VTZ,DFW,VTZ,1,3,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelMOW_US_FPCMP2,SAV,ATQ,SAV,ATQ,0.75,2,1.22,0.76,0.76,0.76,0,1,0
FlyDealFarePanelDOW_US_FPCMP2,ORD,BLR,ORD,BLR,1.2,2,1.48,1.21,1.21,1.21,0,4,0
FlyDealFarePanelM_US_FPCMP2,LEX,DEL,LEX,DEL,1,2,1.22,1.01,1.01,1.01,1,1,1
FlyDealFarePanelM_US_FPCMP2,IAH,AMD,IAH,AMD,1,3,1.22,1.01,1.01,1.01,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,NYC,DEL,NYC,DEL,1.21,1.2,1.51,1.22,1.22,1.22,1,11,1.21
FlyDealFarePanelD_US_FPCMP2,IAH,TRV,IAH,TRV,0.95,4,1.25,1.01,0.96,0.96,0,1,0
FlyDealFarePanelM_US_FPCMP2,BHM,MAA,BHM,MAA,1,3,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,PDX,BLR,PDX,BLR,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelM_US_FPCMP2,ORD,COK,ORD,COK,1,2,1.22,1.01,1.01,1.01,1,5,1
FlyDealFarePanelDOW_US_FPCMP2,JFK,MAA,JFK,MAA,1.2,2,1.48,1.21,1.21,1.21,0,2,0
FlyDealFarePanelM_US_FPCMP2,SFO,MAA,SFO,MAA,1,2,1.22,1.01,1.01,1.01,0,2,0
FlyDealFarePanelD_US_FPCMP2,MKE,HYD,MKE,HYD,0.95,3,1.02,0.96,0.96,0.96,1,2,0.47
FlyDealFarePanelMOW_US_FPCMP2,HYD,CLE,HYD,CLE,0.25,4,1.22,0.52,0.26,0.26,1,1,0.25
FlyDealFarePanelD_US_FPCMP2,DEL,CHI,DEL,CHI,0.55,3,1.02,0.56,0.56,0.56,0,1,0
FlyDealFarePanelD_US_FPCMP2,LBB,BLR,LBB,BLR,0.95,3,1.02,0.96,0.96,0.96,0,1,0
FlyDealFarePanelMOW_US_FPCMP2,AMD,TRI,AMD,TRI,0.25,3,1.22,0.26,0.26,0.26,0,1,0
